ID,DataYear,ReportingStatus,GrossFloorArea,TotalGHGEmissions,GHGIntensity,NumberOfBuildings,ChicagoEnergyRating,ENERGYSTARScore,ElectricityUse,NaturalGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI,ImputedFields,GHGIntensityPercentileGrade,GHGIntensityLetterGrade,EnergyMixWeightedPctSum,EnergyMixPercentileGrade,EnergyMixLetterGrade,index,SubmittedRecordsPercentileGrade,MissingRecordsCount,SubmittedRecordsLetterGrade,AvgPercentileGrade,AvgPercentileLetterGrade,NeighborsElectricityUse,NeighborsNaturalGasUse,NeighborsTotalGHGEmissions,neighbors_electricity_use_kbtu_x,neighbors_natural_gas_use_kbtu_x,neighbors_total_ghg_emissions_metric_tons_co2e_x,neighbors_electricity_use_kbtu_y,neighbors_natural_gas_use_kbtu_y,neighbors_total_ghg_emissions_metric_tons_co2e_y
101671,2021,Not Submitted,65250.0,1887.692946460459,,,0.0,,4052789.731154456,24565882.927774876,,,,,,,,"ElectricityUse,NaturalGasUse,TotalGHGEmissions",,,14.16134766085995,8.450704225352112,F,107,0.0,6.0,F,,,"[{""building_id"": ""5213"", ""weight"": 0.35509, ""building_name"": ""Building 5213""}, {""building_id"": ""8915"", ""weight"": 0.32245, ""building_name"": ""Building 8915""}, {""building_id"": ""1809"", ""weight"": 0.32245, ""building_name"": ""Building 1809""}]","[{""building_id"": ""5213"", ""weight"": 0.35509, ""building_name"": ""Building 5213""}, {""building_id"": ""8915"", ""weight"": 0.32245, ""building_name"": ""Building 8915""}, {""building_id"": ""1809"", ""weight"": 0.32245, ""building_name"": ""Building 1809""}]","[{""building_id"": ""5213"", ""weight"": 0.35509, ""building_name"": ""Building 5213""}, {""building_id"": ""8915"", ""weight"": 0.32245, ""building_name"": ""Building 8915""}, {""building_id"": ""1809"", ""weight"": 0.32245, ""building_name"": ""Building 1809""}]","[{""building_id"": ""5213"", ""weight"": 0.35509}, {""building_id"": ""8915"", ""weight"": 0.32245}, {""building_id"": ""1809"", ""weight"": 0.32245}]","[{""building_id"": ""5213"", ""weight"": 0.35509}, {""building_id"": ""8915"", ""weight"": 0.32245}, {""building_id"": ""1809"", ""weight"": 0.32245}]","[{""building_id"": ""5213"", ""weight"": 0.35509}, {""building_id"": ""8915"", ""weight"": 0.32245}, {""building_id"": ""1809"", ""weight"": 0.32245}]","[{""building_id"": ""5213"", ""weight"": 0.35509}, {""building_id"": ""8915"", ""weight"": 0.32245}, {""building_id"": ""1809"", ""weight"": 0.32245}]","[{""building_id"": ""5213"", ""weight"": 0.35509}, {""building_id"": ""8915"", ""weight"": 0.32245}, {""building_id"": ""1809"", ""weight"": 0.32245}]","[{""building_id"": ""5213"", ""weight"": 0.35509}, {""building_id"": ""8915"", ""weight"": 0.32245}, {""building_id"": ""1809"", ""weight"": 0.32245}]"
101826,2021,Not Submitted,66888.0,338.7730125410566,,,0.0,,1436002.0535016167,2437740.5912757614,,,,,,,,"ElectricityUse,NaturalGasUse,TotalGHGEmissions",,,37.070145984985615,53.04225352112676,C,173,0.0,6.0,F,,,"[{""building_id"": ""3749"", ""weight"": 0.33592, ""building_name"": ""Building 3749""}, {""building_id"": ""4422"", ""weight"": 0.33294, ""building_name"": ""Building 4422""}, {""building_id"": ""2513"", ""weight"": 0.33114, ""building_name"": ""Building 2513""}]","[{""building_id"": ""3749"", ""weight"": 0.33592, ""building_name"": ""Building 3749""}, {""building_id"": ""4422"", ""weight"": 0.33294, ""building_name"": ""Building 4422""}, {""building_id"": ""2513"", ""weight"": 0.33114, ""building_name"": ""Building 2513""}]","[{""building_id"": ""3749"", ""weight"": 0.33592, ""building_name"": ""Building 3749""}, {""building_id"": ""4422"", ""weight"": 0.33294, ""building_name"": ""Building 4422""}, {""building_id"": ""2513"", ""weight"": 0.33114, ""building_name"": ""Building 2513""}]","[{""building_id"": ""3749"", ""weight"": 0.33592}, {""building_id"": ""4422"", ""weight"": 0.33294}, {""building_id"": ""2513"", ""weight"": 0.33114}]","[{""building_id"": ""3749"", ""weight"": 0.33592}, {""building_id"": ""4422"", ""weight"": 0.33294}, {""building_id"": ""2513"", ""weight"": 0.33114}]","[{""building_id"": ""3749"", ""weight"": 0.33592}, {""building_id"": ""4422"", ""weight"": 0.33294}, {""building_id"": ""2513"", ""weight"": 0.33114}]","[{""building_id"": ""3749"", ""weight"": 0.33592}, {""building_id"": ""4422"", ""weight"": 0.33294}, {""building_id"": ""2513"", ""weight"": 0.33114}]","[{""building_id"": ""3749"", ""weight"": 0.33592}, {""building_id"": ""4422"", ""weight"": 0.33294}, {""building_id"": ""2513"", ""weight"": 0.33114}]","[{""building_id"": ""3749"", ""weight"": 0.33592}, {""building_id"": ""4422"", ""weight"": 0.33294}, {""building_id"": ""2513"", ""weight"": 0.33114}]"
102323,2021,Not Submitted,93000.0,716.9457365977659,,,0.0,,2436090.3727475484,6760704.242423718,,,,,,,,"ElectricityUse,NaturalGasUse,TotalGHGEmissions",,,26.48847206752788,31.859154929577464,D,266,25.0,6.0,D,,,"[{""building_id"": ""3113"", ""weight"": 0.42467, ""building_name"": ""Building 3113""}, {""building_id"": ""12116"", ""weight"": 0.42467, ""building_name"": ""Building 12116""}, {""building_id"": ""17627"", ""weight"": 0.15067, ""building_name"": ""Building 17627""}]","[{""building_id"": ""3113"", ""weight"": 0.42467, ""building_name"": ""Building 3113""}, {""building_id"": ""12116"", ""weight"": 0.42467, ""building_name"": ""Building 12116""}, {""building_id"": ""17627"", ""weight"": 0.15067, ""building_name"": ""Building 17627""}]","[{""building_id"": ""3113"", ""weight"": 0.42467, ""building_name"": ""Building 3113""}, {""building_id"": ""12116"", ""weight"": 0.42467, ""building_name"": ""Building 12116""}, {""building_id"": ""17627"", ""weight"": 0.15067, ""building_name"": ""Building 17627""}]","[{""building_id"": ""3113"", ""weight"": 0.42467}, {""building_id"": ""12116"", ""weight"": 0.42467}, {""building_id"": ""17627"", ""weight"": 0.15067}]","[{""building_id"": ""3113"", ""weight"": 0.42467}, {""building_id"": ""12116"", ""weight"": 0.42467}, {""building_id"": ""17627"", ""weight"": 0.15067}]","[{""building_id"": ""3113"", ""weight"": 0.42467}, {""building_id"": ""12116"", ""weight"": 0.42467}, {""building_id"": ""17627"", ""weight"": 0.15067}]","[{""building_id"": ""3113"", ""weight"": 0.42467}, {""building_id"": ""12116"", ""weight"": 0.42467}, {""building_id"": ""17627"", ""weight"": 0.15067}]","[{""building_id"": ""3113"", ""weight"": 0.42467}, {""building_id"": ""12116"", ""weight"": 0.42467}, {""building_id"": ""17627"", ""weight"": 0.15067}]","[{""building_id"": ""3113"", ""weight"": 0.42467}, {""building_id"": ""12116"", ""weight"": 0.42467}, {""building_id"": ""17627"", ""weight"": 0.15067}]"
256888,2022,Submitted Data,104849.0,311.5,3.0,1.0,4.0,98.0,1669219.6,1726089.1,0.0,0.0,,32.4,61.9,32.8,61.4,,96.58823529411764,A,49.16252828498334,72.65430390257404,B,3667,100.0,0.0,A,87.35583920808844,A,,,,,,,,,
104374,2021,Not Submitted,55686.0,311.17807129320926,,,0.0,,897931.1729324639,3422176.0924554537,,,,,,,,"ElectricityUse,NaturalGasUse,TotalGHGEmissions",,,20.78492772914599,19.88732394366197,F,442,20.0,4.0,D,,,"[{""building_id"": ""28230"", ""weight"": 0.36661, ""building_name"": ""Building 28230""}, {""building_id"": ""4922"", ""weight"": 0.3168, ""building_name"": ""Building 4922""}, {""building_id"": ""4503"", ""weight"": 0.31659, ""building_name"": ""Building 4503""}]","[{""building_id"": ""28230"", ""weight"": 0.36661, ""building_name"": ""Building 28230""}, {""building_id"": ""4922"", ""weight"": 0.3168, ""building_name"": ""Building 4922""}, {""building_id"": ""4503"", ""weight"": 0.31659, ""building_name"": ""Building 4503""}]","[{""building_id"": ""28230"", ""weight"": 0.36661, ""building_name"": ""Building 28230""}, {""building_id"": ""4922"", ""weight"": 0.3168, ""building_name"": ""Building 4922""}, {""building_id"": ""4503"", ""weight"": 0.31659, ""building_name"": ""Building 4503""}]","[{""building_id"": ""28230"", ""weight"": 0.36661}, {""building_id"": ""4922"", ""weight"": 0.3168}, {""building_id"": ""4503"", ""weight"": 0.31659}]","[{""building_id"": ""28230"", ""weight"": 0.36661}, {""building_id"": ""4922"", ""weight"": 0.3168}, {""building_id"": ""4503"", ""weight"": 0.31659}]","[{""building_id"": ""28230"", ""weight"": 0.36661}, {""building_id"": ""4922"", ""weight"": 0.3168}, {""building_id"": ""4503"", ""weight"": 0.31659}]","[{""building_id"": ""28230"", ""weight"": 0.36661}, {""building_id"": ""4922"", ""weight"": 0.3168}, {""building_id"": ""4503"", ""weight"": 0.31659}]","[{""building_id"": ""28230"", ""weight"": 0.36661}, {""building_id"": ""4922"", ""weight"": 0.3168}, {""building_id"": ""4503"", ""weight"": 0.31659}]","[{""building_id"": ""28230"", ""weight"": 0.36661}, {""building_id"": ""4922"", ""weight"": 0.3168}, {""building_id"": ""4503"", ""weight"": 0.31659}]"
109238,2021,Not Submitted,63800.0,299.18547788030287,,,0.0,,580933.1492174171,3875998.047156158,,,,,,,,"ElectricityUse,NaturalGasUse,TotalGHGEmissions",,,13.034375529290172,7.492957746478873,F,564,85.71428571428571,1.0,A,,,"[{""building_id"": ""27792"", ""weight"": 0.54351, ""building_name"": ""Building 27792""}, {""building_id"": ""21996"", ""weight"": 0.27369, ""building_name"": ""Building 21996""}, {""building_id"": ""27955"", ""weight"": 0.18279, ""building_name"": ""Building 27955""}]","[{""building_id"": ""27792"", ""weight"": 0.54351, ""building_name"": ""Building 27792""}, {""building_id"": ""21996"", ""weight"": 0.27369, ""building_name"": ""Building 21996""}, {""building_id"": ""27955"", ""weight"": 0.18279, ""building_name"": ""Building 27955""}]","[{""building_id"": ""27792"", ""weight"": 0.54351, ""building_name"": ""Building 27792""}, {""building_id"": ""21996"", ""weight"": 0.27369, ""building_name"": ""Building 21996""}, {""building_id"": ""27955"", ""weight"": 0.18279, ""building_name"": ""Building 27955""}]","[{""building_id"": ""27792"", ""weight"": 0.54351}, {""building_id"": ""21996"", ""weight"": 0.27369}, {""building_id"": ""27955"", ""weight"": 0.18279}]","[{""building_id"": ""27792"", ""weight"": 0.54351}, {""building_id"": ""21996"", ""weight"": 0.27369}, {""building_id"": ""27955"", ""weight"": 0.18279}]","[{""building_id"": ""27792"", ""weight"": 0.54351}, {""building_id"": ""21996"", ""weight"": 0.27369}, {""building_id"": ""27955"", ""weight"": 0.18279}]","[{""building_id"": ""27792"", ""weight"": 0.54351}, {""building_id"": ""21996"", ""weight"": 0.27369}, {""building_id"": ""27955"", ""weight"": 0.18279}]","[{""building_id"": ""27792"", ""weight"": 0.54351}, {""building_id"": ""21996"", ""weight"": 0.27369}, {""building_id"": ""27955"", ""weight"": 0.18279}]","[{""building_id"": ""27792"", ""weight"": 0.54351}, {""building_id"": ""21996"", ""weight"": 0.27369}, {""building_id"": ""27955"", ""weight"": 0.18279}]"
112801,2021,Not Submitted,104500.0,348.25046462097947,,,0.0,,1318676.311437745,3010211.310602844,,,,,,,,"ElectricityUse,NaturalGasUse,TotalGHGEmissions",,,30.46224403525024,40.16901408450704,C,629,87.5,1.0,A,,,"[{""building_id"": ""4503"", ""weight"": 0.43465, ""building_name"": ""Building 4503""}, {""building_id"": ""5157"", ""weight"": 0.28912, ""building_name"": ""Building 5157""}, {""building_id"": ""4922"", ""weight"": 0.27622, ""building_name"": ""Building 4922""}]","[{""building_id"": ""4503"", ""weight"": 0.43465, ""building_name"": ""Building 4503""}, {""building_id"": ""5157"", ""weight"": 0.28912, ""building_name"": ""Building 5157""}, {""building_id"": ""4922"", ""weight"": 0.27622, ""building_name"": ""Building 4922""}]","[{""building_id"": ""4503"", ""weight"": 0.43465, ""building_name"": ""Building 4503""}, {""building_id"": ""5157"", ""weight"": 0.28912, ""building_name"": ""Building 5157""}, {""building_id"": ""4922"", ""weight"": 0.27622, ""building_name"": ""Building 4922""}]","[{""building_id"": ""4503"", ""weight"": 0.43465}, {""building_id"": ""5157"", ""weight"": 0.28912}, {""building_id"": ""4922"", ""weight"": 0.27622}]","[{""building_id"": ""4503"", ""weight"": 0.43465}, {""building_id"": ""5157"", ""weight"": 0.28912}, {""building_id"": ""4922"", ""weight"": 0.27622}]","[{""building_id"": ""4503"", ""weight"": 0.43465}, {""building_id"": ""5157"", ""weight"": 0.28912}, {""building_id"": ""4922"", ""weight"": 0.27622}]","[{""building_id"": ""4503"", ""weight"": 0.43465}, {""building_id"": ""5157"", ""weight"": 0.28912}, {""building_id"": ""4922"", ""weight"": 0.27622}]","[{""building_id"": ""4503"", ""weight"": 0.43465}, {""building_id"": ""5157"", ""weight"": 0.28912}, {""building_id"": ""4922"", ""weight"": 0.27622}]","[{""building_id"": ""4503"", ""weight"": 0.43465}, {""building_id"": ""5157"", ""weight"": 0.28912}, {""building_id"": ""4922"", ""weight"": 0.27622}]"
115231,2021,Not Submitted,59296.0,419.044402147385,,,0.0,,1007965.7404164218,5178859.31861598,,,,,,,,"ElectricityUse,NaturalGasUse,TotalGHGEmissions",,,16.292132568785842,10.985915492957746,F,706,75.0,2.0,B,,,"[{""building_id"": ""4266"", ""weight"": 0.45234, ""building_name"": ""Building 4266""}, {""building_id"": ""5739"", ""weight"": 0.2761, ""building_name"": ""Building 5739""}, {""building_id"": ""6481"", ""weight"": 0.27156, ""building_name"": ""Building 6481""}]","[{""building_id"": ""4266"", ""weight"": 0.45234, ""building_name"": ""Building 4266""}, {""building_id"": ""5739"", ""weight"": 0.2761, ""building_name"": ""Building 5739""}, {""building_id"": ""6481"", ""weight"": 0.27156, ""building_name"": ""Building 6481""}]","[{""building_id"": ""4266"", ""weight"": 0.45234, ""building_name"": ""Building 4266""}, {""building_id"": ""5739"", ""weight"": 0.2761, ""building_name"": ""Building 5739""}, {""building_id"": ""6481"", ""weight"": 0.27156, ""building_name"": ""Building 6481""}]","[{""building_id"": ""4266"", ""weight"": 0.45234}, {""building_id"": ""5739"", ""weight"": 0.2761}, {""building_id"": ""6481"", ""weight"": 0.27156}]","[{""building_id"": ""4266"", ""weight"": 0.45234}, {""building_id"": ""5739"", ""weight"": 0.2761}, {""building_id"": ""6481"", ""weight"": 0.27156}]","[{""building_id"": ""4266"", ""weight"": 0.45234}, {""building_id"": ""5739"", ""weight"": 0.2761}, {""building_id"": ""6481"", ""weight"": 0.27156}]","[{""building_id"": ""4266"", ""weight"": 0.45234}, {""building_id"": ""5739"", ""weight"": 0.2761}, {""building_id"": ""6481"", ""weight"": 0.27156}]","[{""building_id"": ""4266"", ""weight"": 0.45234}, {""building_id"": ""5739"", ""weight"": 0.2761}, {""building_id"": ""6481"", ""weight"": 0.27156}]","[{""building_id"": ""4266"", ""weight"": 0.45234}, {""building_id"": ""5739"", ""weight"": 0.2761}, {""building_id"": ""6481"", ""weight"": 0.27156}]"
116534,2021,Not Submitted,156544.0,476.5703054761895,,,0.0,,2177632.5632358384,2764713.4946289537,,,,,,,,"ElectricityUse,NaturalGasUse,TotalGHGEmissions",,,44.06070594289033,64.22535211267606,B,732,62.5,3.0,B,,,"[{""building_id"": ""2145"", ""weight"": 0.3663, ""building_name"": ""Building 2145""}, {""building_id"": ""5367"", ""weight"": 0.33172, ""building_name"": ""Building 5367""}, {""building_id"": ""4664"", ""weight"": 0.30199, ""building_name"": ""Building 4664""}]","[{""building_id"": ""2145"", ""weight"": 0.3663, ""building_name"": ""Building 2145""}, {""building_id"": ""5367"", ""weight"": 0.33172, ""building_name"": ""Building 5367""}, {""building_id"": ""4664"", ""weight"": 0.30199, ""building_name"": ""Building 4664""}]","[{""building_id"": ""2145"", ""weight"": 0.3663, ""building_name"": ""Building 2145""}, {""building_id"": ""5367"", ""weight"": 0.33172, ""building_name"": ""Building 5367""}, {""building_id"": ""4664"", ""weight"": 0.30199, ""building_name"": ""Building 4664""}]","[{""building_id"": ""2145"", ""weight"": 0.3663}, {""building_id"": ""5367"", ""weight"": 0.33172}, {""building_id"": ""4664"", ""weight"": 0.30199}]","[{""building_id"": ""2145"", ""weight"": 0.3663}, {""building_id"": ""5367"", ""weight"": 0.33172}, {""building_id"": ""4664"", ""weight"": 0.30199}]","[{""building_id"": ""2145"", ""weight"": 0.3663}, {""building_id"": ""5367"", ""weight"": 0.33172}, {""building_id"": ""4664"", ""weight"": 0.30199}]","[{""building_id"": ""2145"", ""weight"": 0.3663}, {""building_id"": ""5367"", ""weight"": 0.33172}, {""building_id"": ""4664"", ""weight"": 0.30199}]","[{""building_id"": ""2145"", ""weight"": 0.3663}, {""building_id"": ""5367"", ""weight"": 0.33172}, {""building_id"": ""4664"", ""weight"": 0.30199}]","[{""building_id"": ""2145"", ""weight"": 0.3663}, {""building_id"": ""5367"", ""weight"": 0.33172}, {""building_id"": ""4664"", ""weight"": 0.30199}]"
119405,2021,Not Submitted,57600.0,484.6028178709111,,,0.0,,1724124.7029457155,4368232.31831643,,,,,,,,"ElectricityUse,NaturalGasUse,TotalGHGEmissions",,,28.299797548445888,35.91549295774648,D,804,14.285714285714285,6.0,F,,,"[{""building_id"": ""4053"", ""weight"": 0.50442, ""building_name"": ""Building 4053""}, {""building_id"": ""2141"", ""weight"": 0.28863, ""building_name"": ""Building 2141""}, {""building_id"": ""5894"", ""weight"": 0.20695, ""building_name"": ""Building 5894""}]","[{""building_id"": ""4053"", ""weight"": 0.50442, ""building_name"": ""Building 4053""}, {""building_id"": ""2141"", ""weight"": 0.28863, ""building_name"": ""Building 2141""}, {""building_id"": ""5894"", ""weight"": 0.20695, ""building_name"": ""Building 5894""}]","[{""building_id"": ""4053"", ""weight"": 0.50442, ""building_name"": ""Building 4053""}, {""building_id"": ""2141"", ""weight"": 0.28863, ""building_name"": ""Building 2141""}, {""building_id"": ""5894"", ""weight"": 0.20695, ""building_name"": ""Building 5894""}]","[{""building_id"": ""4053"", ""weight"": 0.50442}, {""building_id"": ""2141"", ""weight"": 0.28863}, {""building_id"": ""5894"", ""weight"": 0.20695}]","[{""building_id"": ""4053"", ""weight"": 0.50442}, {""building_id"": ""2141"", ""weight"": 0.28863}, {""building_id"": ""5894"", ""weight"": 0.20695}]","[{""building_id"": ""4053"", ""weight"": 0.50442}, {""building_id"": ""2141"", ""weight"": 0.28863}, {""building_id"": ""5894"", ""weight"": 0.20695}]","[{""building_id"": ""4053"", ""weight"": 0.50442}, {""building_id"": ""2141"", ""weight"": 0.28863}, {""building_id"": ""5894"", ""weight"": 0.20695}]","[{""building_id"": ""4053"", ""weight"": 0.50442}, {""building_id"": ""2141"", ""weight"": 0.28863}, {""building_id"": ""5894"", ""weight"": 0.20695}]","[{""building_id"": ""4053"", ""weight"": 0.50442}, {""building_id"": ""2141"", ""weight"": 0.28863}, {""building_id"": ""5894"", ""weight"": 0.20695}]"
